Over,Ball,Runs Scored,Batsman Name,Bowler Name,Wickets,Total Runs,Total Wickets,Balls Faced by Batsman,Total Boundaries,Extras
1,1,0,A. Smith,B. Johnson,0,0,0,0,0,0
1,2,1,A. Smith,B. Johnson,0,0,0,0,1,0
1,3,4,J. Doe,B. Johnson,0,0,0,1,0,1
1,4,1,J. Doe,B. Johnson,0,0,0,1,0,0
1,5,6,M. Johnson,B. Johnson,0,0,0,0,1,1
1,6,1,M. Johnson,B. Johnson,0,0,0,0,0,0
2,1,2,A. Smith,S. Patel,0,0,0,0,0,0
2,2,0,A. Smith,S. Patel,0,0,0,0,0,0
2,3,4,J. Doe,S. Patel,0,0,0,1,0,0
2,4,1,J. Doe,S. Patel,0,0,0,1,0,0
2,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
2,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
3,1,3,A. Smith,R. Williams,0,0,0,0,0,0
3,2,0,A. Smith,R. Williams,0,0,0,0,0,0
3,3,4,J. Doe,R. Williams,0,0,0,1,0,0
3,4,1,J. Doe,R. Williams,0,0,0,1,0,0
3,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
3,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
4,1,2,A. Smith,D. Jones,0,0,0,0,0,0
4,2,0,A. Smith,D. Jones,0,0,0,0,0,0
4,3,4,J. Doe,D. Jones,0,0,0,1,0,0
4,4,1,J. Doe,D. Jones,0,0,0,1,0,0
4,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
4,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
5,1,1,A. Smith,M. Wilson,0,0,0,0,0,0
5,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
5,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
5,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
5,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
5,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
6,1,2,A. Smith,J. Brown,0,0,0,0,0,0
6,2,0,A. Smith,J. Brown,0,0,0,0,0,0
6,3,4,J. Doe,J. Brown,0,0,0,1,0,0
6,4,1,J. Doe,J. Brown,0,0,0,1,0,0
6,5,6,M. Johnson,J. Brown,0,0,0,0,1,1
6,6,1,M. Johnson,J. Brown,0,0,0,0,0,0
7,1,3,A. Smith,S. Patel,0,0,0,0,0,0
7,2,0,A. Smith,S. Patel,0,0,0,0,0,0
7,3,4,J. Doe,S. Patel,0,0,0,1,0,0
7,4,1,J. Doe,S. Patel,0,0,0,1,0,0
7,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
7,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
8,1,2,A. Smith,R. Williams,0,0,0,0,0,0
8,2,0,A. Smith,R. Williams,0,0,0,0,0,0
8,3,4,J. Doe,R. Williams,0,0,0,1,0,0
8,4,1,J. Doe,R. Williams,0,0,0,1,0,0
8,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
8,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
9,1,1,A. Smith,D. Jones,0,0,0,0,0,0
9,2,0,A. Smith,D. Jones,0,0,0,0,0,0
9,3,4,J. Doe,D. Jones,0,0,0,1,0,0
9,4,1,J. Doe,D. Jones,0,0,0,1,0,0
9,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
9,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
10,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
10,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
10,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
10,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
10,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
10,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
11,1,3,A. Smith,S. Patel,0,0,0,0,0,0
11,2,0,A. Smith,S. Patel,0,0,0,0,0,0
11,3,4,J. Doe,S. Patel,0,0,0,1,0,0
11,4,1,J. Doe,S. Patel,0,0,0,1,0,0
11,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
11,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
12,1,2,A. Smith,R. Williams,0,0,0,0,0,0
